ZB=F,EUR=X,CHFUSD,GLD
113.03125,0.7585,0.822166,61.38
112.1875,0.76121,0.819807,61.65
112.46875,0.76278,0.818398,61.98
111.90625,0.7619,0.815993,62.22
111.53125,0.76057,0.818465,62.9
111.4375,0.75769,0.819941,63.21
111.9375,0.75924,0.816326,62.28
112.40625,0.76377,0.811688,61.65
112.15625,0.77012,0.808146,60.17
112.125,0.76687,0.809848,60.48
112.125,0.76941,0.805477,60.85
111.8125,0.7728,0.802504,60.59
111.1875,0.77549,0.800256,60.63
110.8125,0.77351,0.801603,62.17
110.96875,0.77399,0.800897,61.97
110.5625,0.7728,0.801925,62.64
110.9375,0.77155,0.801796,62.26
110.78125,0.77107,0.800961,63.0
110.9375,0.7722,0.800512,62.72
110.40625,0.76787,0.804699,64.23
110.3125,0.77143,0.801154,64.33
109.71875,0.7728,0.801346,64.06
109.53125,0.77346,0.797639,64.17
109.40625,0.77143,0.798786,63.77
109.5,0.77125,0.799105,64.22
110.125,0.76787,0.803536,64.83
110.0625,0.76811,0.803923,65.22
110.09375,0.77137,0.800064,64.28
110.3125,0.77328,0.801218,64.31
110.78125,0.77018,0.806647,64.79
110.96875,0.76787,0.806192,64.63
111.09375,0.76687,0.802633,65.52
110.5,0.76882,0.801539,66.12
110.3125,0.77143,0.797703,65.67
110.1875,0.76734,0.801796,65.84
111.03125,0.76104,0.807103,66.37
111.3125,0.76132,0.809684,66.41
111.5,0.76115,0.80952,66.36
111.625,0.76057,0.809356,65.31
111.46875,0.76109,0.807754,67.35
111.0625,0.7619,0.807754,67.15
111.625,0.75936,0.811425,67.72
112.1875,0.75792,0.81367,68.1
113.40625,0.75574,0.821085,65.41
113.0,0.75592,0.820277,66.48
112.875,0.7593,0.81706,65.82
113.25,0.75959,0.823859,63.71
113.25,0.76412,0.819269,62.93
113.21875,0.76115,0.817394,64.15
113.5,0.75881,0.822166,64.3
113.375,0.76092,0.814863,64.48
112.5,0.76243,0.811952,64.25
112.84375,0.75827,0.816393,64.37
113.3125,0.75815,0.82176,63.72
113.0,0.75557,0.821693,63.94
112.9375,0.75284,0.824402,63.98
112.875,0.75086,0.827678,64.62
112.5625,0.75115,0.825696,64.74
112.78125,0.75098,0.825219,65.27
112.40625,0.74632,0.827335,65.82
112.0625,0.74996,0.823791,65.76
111.84375,0.75205,0.820546,65.15
112.03125,0.75008,0.822842,65.84
111.75,0.74822,0.825968,65.7
111.59375,0.75103,0.821997,66.05
111.5625,0.74991,0.821558,65.65
111.25,0.74856,0.823927,65.74
111.34375,0.74794,0.823181,65.85
111.1875,0.75047,0.817762,65.83
111.28125,0.74772,0.820143,66.81
111.03125,0.74449,0.823181,66.86
110.375,0.74878,0.815262,66.53
110.5625,0.74449,0.821423,67.16
110.4375,0.74405,0.819739,67.08
110.46875,0.74123,0.822301,66.99
110.25,0.73959,0.823249,67.84
110.59375,0.73915,0.823316,68.4
111.125,0.73681,0.827267,68.0
111.46875,0.73454,0.831255,68.38
111.34375,0.73398,0.830096,67.53
111.28125,0.73589,0.828432,68.7
111.46875,0.73616,0.827335,68.26
111.71875,0.73335,0.83257,67.73
111.5,0.73319,0.829394,67.89
111.0625,0.73589,0.827335,66.87
110.90625,0.73233,0.829531,67.56
111.75,0.73249,0.82905,67.09
111.71875,0.73524,0.823384,66.69
111.71875,0.73594,0.82352,66.66
